sol,target,scan,point,mean,amplitude,fwhm,snr
861,Dragons_Egg_Lake,detail_1,55,979.010721133784,2061.0480481452782,57.47614333280757,19.74248242230389
861,Dragons_Egg_Lake,detail_1,26,1151.8508139730545,3478.0062745670843,70.0032088895283,19.725576721684025
861,Dragons_Egg_Lake,detail_1,46,1002.7842643626219,3344.171992062829,90.0,19.497192232365933
861,Dragons_Egg_Lake,detail_1,60,1124.5936046379481,2078.028971726917,30.0,19.250650703463688
861,Dragons_Egg_Lake,detail_1,12,987.2406029021566,1657.265622604696,45.70925511979328,19.23762905130031
861,Dragons_Egg_Lake,detail_1,15,981.9771464363696,2652.7619582674674,52.32270086305539,19.2292768466328
861,Dragons_Egg_Lake,detail_1,19,993.2540553573539,2092.526089468804,58.63914852384993,18.957744865963406
861,Dragons_Egg_Lake,detail_1,63,1088.3383582677154,3103.7842659010507,40.16364022795787,18.880216949887963
861,Dragons_Egg_Lake,detail_1,22,980.6218086035174,3275.380864032726,53.223918842674635,18.816903323220675
861,Dragons_Egg_Lake,detail_1,30,994.7743041712636,2884.5823451315027,30.0,18.7667496463212
861,Dragons_Egg_Lake,detail_1,4,969.6777977293888,2420.7227631253904,30.0,18.747188173738067
861,Dragons_Egg_Lake,detail_1,93,1124.632600902846,3729.0373600124626,34.928105373239276,18.683679530937606
861,Dragons_Egg_Lake,detail_1,27,1162.256423584734,1793.3106433407063,47.058315447755874,18.654330217379048
861,Dragons_Egg_Lake,detail_1,75,1081.2463639828215,1811.0304386070834,43.95534631828875,18.435496875127384
861,Dragons_Egg_Lake,detail_1,67,1142.0405802648118,3466.2310365739067,74.87230377385322,18.277231711941525
861,Dragons_Egg_Lake,detail_1,71,1107.7395474304656,3401.867143920012,42.299212952581286,18.232954751156225
861,Dragons_Egg_Lake,detail_1,4,1123.6497812913235,2343.721203224943,30.0,18.150852750650927
861,Dragons_Egg_Lake,detail_1,18,1150.7639107936498,2006.6670825383421,71.59464079566813,18.020549975894287
861,Dragons_Egg_Lake,detail_1,63,988.1983441718484,2931.8459910010492,53.60105630900648,17.83432211506796
861,Dragons_Egg_Lake,detail_1,52,1147.7522715352907,3060.2486320241123,64.73079246052677,17.765705476774084
861,Dragons_Egg_Lake,detail_1,69,992.5315294826449,2026.1141548730648,30.39266208962657,17.36003887796634
861,Dragons_Egg_Lake,detail_1,21,1060.7783705026725,2157.2226864185336,30.0,17.202980499653215
861,Dragons_Egg_Lake,detail_1,0,1137.9303361280947,1925.455788738676,90.0,17.137965630249784
861,Dragons_Egg_Lake,detail_1,87,1144.6714731738803,3400.4124860592146,78.95988552037487,17.004229344672986
861,Dragons_Egg_Lake,detail_1,50,1057.543308175703,1777.9132789353341,30.0,16.891433230294265
861,Dragons_Egg_Lake,detail_1,43,1162.6439620273413,2332.956209019467,54.40670977758247,16.68490745431014
